Location,Diff
Hokaido,-256
Aomori,-127
Iwate,-103
Miyagi,-42
Akita,-120
Yamagata,-91
Fukuchima,-183
Tochigi,-110
Igaragi,-74
Gunma,-66
Saitama,155
Chiba,43
Tokyo,762
Kanagawa,150
Niigata,-151
Toyama,-49
Ishikawa,-32
Fukui,-38
Yamanashi,-52
Nagano,-103
Gifu,-94
Shizuoka,-121
Aichi,141
Mie,-74
Shiga,3
Kyoto,-53
Osaka,-56
Hyogo,-122
Nara,-71
Wakayama,-77
Tottori,-33
Shimane,-43
Okayama,-55
Hiroshima,-57
Yamaguchi,-93
Tokui,-57
Kagawa,-40
Ehime,-92
Kouchi,-66
Fukuoka,32
Shiga,-35
Nagasaki,-100
Kumamoto,-69
Ooita,-62
Miyazaki,-62
Kagoshima,-104
Okinawa,60