Location,y2010,y2015,y2020
Hokaido,5,506,5,382,5,250
Aomori,1,373,1,308,1,246
Iwate,1,330,1,280,1,227
Miyagi,2,348,2,334,2,306
Akita,1,086,1,023,966
Yamagata,1,169,1,124,1,078
Fukuchima,2,029,1,914,1,846
Tochigi,2,970,2,917,2,860
Igaragi,2,008,1,974,1,934
Gunma,2,008,1,973,1,942
Saitama,7,195,7,267,7,350
Chiba,6,216,6,223,6,259
Tokyo,13,159,13,515,13,921
Kanagawa,9,048,9,126,9,198
Niigata,2,374,2,304,2,223
Toyama,1,093,1,066,1,044
Ishikawa,1,170,1,154,1,138
Fukui,806,787,768
Yamanashi,863,835,811
Nagano,2,152,2,099,2,049
Gifu,2,081,2,032,1,987
Shizuoka,3,765,3,700,3,644
Aichi,7,411,7,483,7,552
Mie,1,855,1,816,1,781
Shiga,1,411,1,413,1,414
Kyoto,2,636,2,610,2,583
Osaka,8,865,8,839,8,809
Hyogo,5,588,5,535,5,466
Nara,1,401,1,364,1,330
Wakayama,1,002,964,925
Tottori,589,573,556
Shimane,717,694,674
Okayama,1,945,1,922,1,890
Hiroshima,2,861,2,844,2,804
Yamaguchi,1,451,1,405,1,358
Tokui,785,756,728
Kagawa,996,976,956
Ehime,1,431,1,385,1,339
Kouchi,764,728,698
Fukuoka,5,072,5,102,5,104
Shiga,850,833,815
Nagasaki,1,427,1,377,1,327
Kumamoto,1,817,1,786,1,748
Ooita,1,197,1,166,1,135
Miyazaki,1,135,1,104,1,073
Kagoshima,1,706,1,648,1,602
Okinawa,1,393,1,434,1,453